ga_session_id,session_duration_sec,product_views,add_to_cart,add_payment,total_engagement_ms,country,session_number,purchased,device_type_mobile,device_type_tablet,region_Asia,region_Europe,region_Latin America,region_Middle East,region_North America,region_Oceania,region_Other,cluster
751247347,45.762903,0,0,0,4370.0,Netherlands,1,0,True,False,False,True,False,False,False,False,False,0
751405946,186.36,0,0,0,22128.0,United States,2,0,True,False,False,False,False,False,True,False,False,2
751720470,7.485173,0,0,0,3846.0,United States,2,0,False,False,False,False,False,False,True,False,False,0
751901970,0.0,0,0,0,0.0,Switzerland,2,0,True,False,False,True,False,False,False,False,False,0
752108909,0.0,0,0,0,0.0,Taiwan,1,0,True,False,True,False,False,False,False,False,False,0
752285020,3.198548,0,0,0,3185.0,Egypt,5,0,False,False,False,False,False,False,False,False,False,0
753407215,29.414737,0,0,0,11824.0,Poland,1,0,False,False,False,True,False,False,False,False,False,0
753932808,5.668404,0,0,0,5660.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
753943281,186.36,0,0,0,9855.0,United States,1,0,False,False,False,False,False,False,True,False,False,2
754459542,7.228986,0,0,0,7204.0,Canada,1,0,True,False,False,False,False,False,True,False,False,0
754566695,186.36,0,0,0,25666.0,Canada,1,0,False,False,False,False,False,False,True,False,False,2
754800863,2.615382,0,0,0,2627.0,United States,2,0,False,False,False,False,False,False,True,False,False,0
755004000,186.36,0,0,0,31721.0,Spain,1,0,False,False,False,True,False,False,False,False,False,2
755389853,28.526523,1,0,0,26251.0,Slovakia,1,0,False,False,False,False,False,False,False,False,True,0
755512432,186.36,37,25,2,66113.0,Canada,1,1,True,False,False,False,False,False,True,False,False,1
756491964,10.672304,0,0,0,7771.0,New Zealand,1,0,False,False,False,False,False,False,False,True,False,0
756569980,43.467007,0,0,0,34056.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
756871237,0.0,0,0,0,0.0,India,1,0,True,False,True,False,False,False,False,False,False,0
757433241,8.562224,0,0,0,8552.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
757483851,0.0,0,0,0,0.0,United States,1,0,True,False,False,False,False,False,True,False,False,0
757803716,0.0,1,0,0,0.0,India,2,0,False,False,True,False,False,False,False,False,False,0
759039213,17.137485,0,0,0,10473.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
759462177,186.36,0,0,0,15821.0,United States,1,0,True,False,False,False,False,False,True,False,False,2
759587502,19.962825,0,0,0,8741.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
760099743,10.136386,0,0,0,10159.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
760528753,5.322751,0,0,0,5299.0,United States,1,0,False,False,False,False,False,False,True,False,False,0
761591449,186.36,1,0,0,66113.0,Japan,1,0,False,False,True,False,False,False,False,False,False,2
761629604,0.0,0,0,0,0.0,South Korea,1,0,False,False,True,False,False,False,False,False,False,0
761888511,5.358863,0,0,0,5642.0,India,1,0,True,False,True,False,False,False,False,False,False,0
